epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,23496.1,1.34597,0.87706,1.12958,0.82512,0.71057,0.78778,0.57287,1.22953,0.95254,1.51256,0.0008832,0.0008832,0.0008832
78,23799.4,1.36144,0.87947,1.12523,0.80771,0.72081,0.78909,0.57864,1.23174,0.94736,1.513,0.00087567,0.00087567,0.00087567
79,24101.4,1.34565,0.87694,1.12344,0.80965,0.71646,0.78674,0.57584,1.23084,0.94714,1.51353,0.000868085,0.000868085,0.000868085
80,24403.4,1.3591,0.87092,1.12506,0.80589,0.74133,0.79239,0.58045,1.22625,0.94223,1.51521,0.000860447,0.000860447,0.000860447
81,24705.7,1.34937,0.86998,1.1208,0.80187,0.72941,0.78506,0.57765,1.22322,0.93962,1.51275,0.000852757,0.000852757,0.000852757
82,25006.9,1.35511,0.86504,1.12168,0.82059,0.7231,0.78715,0.57741,1.22571,0.93651,1.5137,0.000845016,0.000845016,0.000845016
83,25307.5,1.34175,0.85785,1.12047,0.8048,0.73099,0.79066,0.57549,1.22669,0.93564,1.51337,0.000837226,0.000837226,0.000837226
84,25608.4,1.33221,0.85055,1.11684,0.80158,0.74215,0.79292,0.57693,1.22548,0.93719,1.51476,0.00082939,0.00082939,0.00082939
85,25909.2,1.34073,0.85237,1.10899,0.81273,0.74211,0.79447,0.5783,1.22263,0.9333,1.51537,0.000821508,0.000821508,0.000821508
86,26210.7,1.34026,0.84692,1.11003,0.79719,0.75093,0.7958,0.57805,1.22566,0.93032,1.51998,0.000813582,0.000813582,0.000813582
87,26512.3,1.32109,0.83553,1.10375,0.81339,0.74172,0.79658,0.58159,1.22571,0.93213,1.5189,0.000805613,0.000805613,0.000805613
88,26814.2,1.32246,0.83114,1.10059,0.81305,0.74099,0.7972,0.58146,1.22573,0.93632,1.51717,0.000797604,0.000797604,0.000797604
89,27115,1.29853,0.80988,1.102,0.80808,0.74795,0.79955,0.58231,1.22874,0.93454,1.51799,0.000789556,0.000789556,0.000789556
90,27418,1.32767,0.83063,1.10724,0.78563,0.75852,0.80093,0.58366,1.22782,0.93117,1.51506,0.000781471,0.000781471,0.000781471
91,27721.2,1.30135,0.8127,1.10227,0.8292,0.72092,0.79648,0.5834,1.22507,0.92925,1.5103,0.000773349,0.000773349,0.000773349
92,28023,1.3062,0.81229,1.09982,0.82449,0.72718,0.79847,0.58515,1.22341,0.92481,1.51112,0.000765194,0.000765194,0.000765194
93,28326,1.29882,0.80975,1.09886,0.82087,0.73066,0.79743,0.58607,1.22182,0.91768,1.51051,0.000757006,0.000757006,0.000757006
94,28628.7,1.30173,0.81393,1.09564,0.84748,0.72261,0.79879,0.58623,1.2224,0.91543,1.50935,0.000748787,0.000748787,0.000748787
95,28931.2,1.29116,0.80615,1.09838,0.84877,0.7253,0.79781,0.5866,1.22482,0.91249,1.51137,0.000740539,0.000740539,0.000740539
96,29234,1.2883,0.79863,1.09561,0.84423,0.72519,0.79515,0.58558,1.22587,0.90861,1.51432,0.000732264,0.000732264,0.000732264
97,29535.5,1.29895,0.80589,1.08782,0.82483,0.73636,0.79845,0.58729,1.2285,0.90704,1.5173,0.000723963,0.000723963,0.000723963
98,29838,1.27874,0.79547,1.09171,0.83592,0.7343,0.79991,0.58943,1.22876,0.90913,1.5164,0.000715638,0.000715638,0.000715638
99,30141.5,1.28403,0.78742,1.08396,0.83703,0.73566,0.80041,0.59103,1.23082,0.91055,1.51928,0.00070729,0.00070729,0.00070729
100,30444.8,1.29678,0.79327,1.0832,0.81664,0.7483,0.80614,0.59532,1.22999,0.90969,1.51991,0.000698922,0.000698922,0.000698922
101,30747.2,1.2742,0.78747,1.08831,0.81347,0.74917,0.80444,0.59424,1.23057,0.91156,1.52024,0.000690535,0.000690535,0.000690535
102,31048.6,1.27967,0.78571,1.08235,0.82212,0.74486,0.80363,0.59562,1.22942,0.9111,1.51971,0.000682131,0.000682131,0.000682131
103,31351.7,1.28316,0.78811,1.08382,0.82486,0.74526,0.80459,0.5952,1.22877,0.91039,1.51979,0.000673711,0.000673711,0.000673711
104,31653.6,1.28197,0.78416,1.08343,0.80648,0.75737,0.80448,0.59483,1.22833,0.91098,1.51932,0.000665277,0.000665277,0.000665277
105,31955.6,1.26612,0.76896,1.0782,0.81793,0.7523,0.80611,0.59498,1.22819,0.90956,1.5191,0.000656832,0.000656832,0.000656832
106,32257.4,1.27074,0.77104,1.07779,0.82187,0.75122,0.80639,0.59474,1.22785,0.90785,1.51819,0.000648375,0.000648375,0.000648375
107,32559.3,1.27736,0.77192,1.07713,0.81914,0.75107,0.80654,0.59404,1.22727,0.90552,1.51879,0.000639911,0.000639911,0.000639911
108,32860.8,1.26079,0.76246,1.07408,0.81801,0.75389,0.80631,0.59641,1.22746,0.90326,1.51919,0.000631439,0.000631439,0.000631439
109,33163.2,1.24687,0.75601,1.074,0.81743,0.75434,0.80725,0.59679,1.22694,0.90049,1.5185,0.000622962,0.000622962,0.000622962
110,33467.3,1.25424,0.7539,1.06494,0.81579,0.75997,0.80759,0.59812,1.22742,0.90219,1.51886,0.000614482,0.000614482,0.000614482
111,33768.9,1.23719,0.74364,1.06963,0.81811,0.75853,0.80772,0.59824,1.22749,0.90071,1.51997,0.000606,0.000606,0.000606
112,34071.3,1.25538,0.75499,1.07472,0.818,0.75133,0.80678,0.59841,1.22747,0.90028,1.51989,0.000597518,0.000597518,0.000597518
113,34373.9,1.25087,0.74791,1.06412,0.81891,0.75483,0.80782,0.59951,1.22675,0.8998,1.52037,0.000589038,0.000589038,0.000589038
114,34677.3,1.2489,0.75458,1.06613,0.81393,0.75417,0.80656,0.60027,1.22662,0.90047,1.52126,0.000580561,0.000580561,0.000580561
115,34979.1,1.228,0.74162,1.06842,0.82125,0.75407,0.80739,0.60152,1.22607,0.8999,1.52061,0.000572089,0.000572089,0.000572089
116,35281.7,1.24613,0.74806,1.06712,0.8176,0.75407,0.80703,0.6017,1.22546,0.90085,1.52135,0.000563625,0.000563625,0.000563625
117,35584.2,1.24354,0.74454,1.06066,0.81281,0.75673,0.80795,0.6034,1.22522,0.90004,1.52188,0.000555168,0.000555168,0.000555168
118,35887.3,1.24267,0.74441,1.06097,0.81141,0.75848,0.80938,0.6017,1.22458,0.8988,1.52099,0.000546723,0.000546723,0.000546723
119,36188.4,1.2381,0.74033,1.06048,0.81048,0.75842,0.80971,0.60337,1.22459,0.89808,1.52128,0.000538289,0.000538289,0.000538289
120,36489.3,1.23204,0.73598,1.0536,0.81386,0.75329,0.80944,0.60309,1.22507,0.89761,1.52139,0.000529869,0.000529869,0.000529869
121,36791.1,1.22124,0.73309,1.05501,0.83763,0.73905,0.80968,0.60331,1.2252,0.89681,1.52189,0.000521465,0.000521465,0.000521465
122,37092.7,1.23348,0.73085,1.05384,0.84279,0.73625,0.80932,0.60242,1.22549,0.89662,1.52253,0.000513078,0.000513078,0.000513078
123,37393.7,1.19769,0.71608,1.05733,0.84552,0.73513,0.8096,0.60177,1.22465,0.89625,1.52216,0.00050471,0.00050471,0.00050471
124,37695.9,1.22624,0.72534,1.0492,0.85131,0.73432,0.80959,0.603,1.22444,0.89528,1.52257,0.000496362,0.000496362,0.000496362
125,37997.4,1.21367,0.72089,1.05225,0.85232,0.73948,0.81013,0.6036,1.22392,0.89557,1.52266,0.000488037,0.000488037,0.000488037
126,38299.2,1.20985,0.71522,1.04835,0.85289,0.73861,0.81011,0.60394,1.22412,0.89431,1.52339,0.000479736,0.000479736,0.000479736
127,38602.2,1.22059,0.72936,1.05807,0.85121,0.73909,0.81028,0.60544,1.22363,0.89312,1.52375,0.000471461,0.000471461,0.000471461
128,38905.4,1.2262,0.72242,1.04971,0.85011,0.73577,0.81059,0.60532,1.22335,0.89191,1.52422,0.000463213,0.000463213,0.000463213
129,39206.9,1.20282,0.70737,1.044,0.85594,0.73374,0.81085,0.60674,1.22262,0.89067,1.52416,0.000454994,0.000454994,0.000454994
130,39509.5,1.21225,0.71638,1.04481,0.85658,0.73365,0.81086,0.60683,1.22251,0.88996,1.52419,0.000446806,0.000446806,0.000446806
131,39812.5,1.19331,0.69923,1.04446,0.86264,0.73175,0.81134,0.60717,1.22274,0.88984,1.52449,0.000438651,0.000438651,0.000438651
132,40115.4,1.18937,0.69987,1.04427,0.86172,0.73305,0.81148,0.60685,1.22259,0.88946,1.52486,0.000430529,0.000430529,0.000430529
133,40416.6,1.19071,0.70057,1.04064,0.86232,0.73328,0.81112,0.60612,1.22261,0.88951,1.52524,0.000422444,0.000422444,0.000422444
134,40717.9,1.21265,0.71427,1.03823,0.86203,0.73356,0.81181,0.60747,1.22251,0.88825,1.52582,0.000414396,0.000414396,0.000414396
135,41020.9,1.20758,0.71077,1.03869,0.86013,0.73382,0.81193,0.60808,1.22276,0.88837,1.52664,0.000406387,0.000406387,0.000406387
136,41324,1.18821,0.69872,1.03462,0.86033,0.73361,0.81192,0.60863,1.22296,0.88829,1.52689,0.000398418,0.000398418,0.000398418
137,41626.3,1.1664,0.68393,1.03565,0.8594,0.73306,0.81254,0.60881,1.22258,0.88787,1.52651,0.000390492,0.000390492,0.000390492
138,41929.4,1.17807,0.68735,1.03763,0.80994,0.75849,0.81248,0.60951,1.22303,0.88754,1.52752,0.00038261,0.00038261,0.00038261
139,42232.1,1.16579,0.6761,1.02916,0.812,0.7567,0.8128,0.61032,1.22348,0.88715,1.52861,0.000374774,0.000374774,0.000374774
140,42533.3,1.16241,0.68027,1.03792,0.81381,0.75545,0.8132,0.61103,1.22384,0.88693,1.52925,0.000366984,0.000366984,0.000366984
141,42834.8,1.16675,0.68213,1.03466,0.82283,0.7523,0.81282,0.6112,1.22386,0.88751,1.52973,0.000359243,0.000359243,0.000359243
142,43137.3,1.15747,0.67931,1.03096,0.82137,0.75868,0.81342,0.61169,1.22377,0.88631,1.5299,0.000351553,0.000351553,0.000351553
143,43439.8,1.1692,0.68029,1.02836,0.82589,0.75629,0.81151,0.61031,1.22378,0.88588,1.53029,0.000343915,0.000343915,0.000343915
144,43740.7,1.16226,0.68156,1.02838,0.83114,0.75418,0.81109,0.61073,1.22386,0.88504,1.53061,0.00033633,0.00033633,0.00033633
145,44042,1.15508,0.66803,1.02784,0.83614,0.75244,0.81213,0.61024,1.22375,0.88493,1.53059,0.0003288,0.0003288,0.0003288
146,44342.8,1.1538,0.67238,1.02653,0.84013,0.75238,0.81276,0.61177,1.22356,0.8844,1.53088,0.000321326,0.000321326,0.000321326
147,44645.8,1.15702,0.67212,1.02505,0.84157,0.752,0.81292,0.61144,1.22355,0.88491,1.53119,0.000313911,0.000313911,0.000313911
148,44946.9,1.1726,0.67863,1.02442,0.84404,0.75129,0.81259,0.61107,1.22357,0.88487,1.53204,0.000306555,0.000306555,0.000306555
149,45248.5,1.17784,0.68051,1.02422,0.8452,0.75072,0.8126,0.61012,1.22336,0.88451,1.53233,0.00029926,0.00029926,0.00029926
150,45549.9,1.17372,0.6785,1.02361,0.84617,0.75072,0.81198,0.6106,1.2234,0.88443,1.53291,0.000292028,0.000292028,0.000292028
151,45851.2,1.14252,0.66091,1.02378,0.84786,0.75011,0.81258,0.6102,1.22318,0.88407,1.53327,0.000284859,0.000284859,0.000284859
152,46153.7,1.15044,0.66706,1.01889,0.84614,0.75313,0.81373,0.61077,1.22293,0.88297,1.53339,0.000277757,0.000277757,0.000277757
153,46455.9,1.1634,0.6742,1.02089,0.84513,0.75361,0.814,0.60988,1.22245,0.88268,1.5332,0.000270721,0.000270721,0.000270721
154,46758.4,1.15468,0.66858,1.01946,0.8464,0.75308,0.81406,0.61061,1.2223,0.88265,1.5335,0.000263753,0.000263753,0.000263753
155,47060.2,1.1531,0.66619,1.01843,0.84544,0.75438,0.81406,0.61034,1.22238,0.88147,1.53384,0.000256856,0.000256856,0.000256856
156,47361.8,1.15031,0.65945,1.01381,0.84365,0.75656,0.81413,0.61099,1.22197,0.8811,1.53334,0.000250029,0.000250029,0.000250029
157,47664,1.14537,0.65993,1.01635,0.84442,0.75645,0.81428,0.61071,1.22177,0.88148,1.53367,0.000243275,0.000243275,0.000243275
158,47965.9,1.1421,0.65266,1.00878,0.84422,0.75682,0.81425,0.61177,1.22184,0.88137,1.53433,0.000236595,0.000236595,0.000236595
159,48269.4,1.13887,0.65414,1.01279,0.84457,0.75857,0.81461,0.61235,1.22174,0.88072,1.53482,0.000229991,0.000229991,0.000229991
160,48572.8,1.13106,0.65237,1.0104,0.84352,0.76658,0.81514,0.61298,1.22124,0.88007,1.53432,0.000223463,0.000223463,0.000223463
161,48875.8,1.12786,0.64628,1.0085,0.84191,0.7681,0.81535,0.61219,1.22113,0.87932,1.53445,0.000217013,0.000217013,0.000217013
162,49176.5,1.12659,0.6466,1.01074,0.8393,0.77067,0.81534,0.61235,1.22134,0.87887,1.53495,0.000210642,0.000210642,0.000210642
163,49479,1.13093,0.64668,1.00849,0.83885,0.77109,0.81538,0.61194,1.22139,0.87876,1.53547,0.000204352,0.000204352,0.000204352
164,49780.7,1.12127,0.64111,1.00755,0.83833,0.77303,0.8157,0.61225,1.2218,0.87844,1.53626,0.000198144,0.000198144,0.000198144
165,50082.6,1.13839,0.6515,1.01066,0.83949,0.77266,0.81546,0.61177,1.22166,0.87803,1.53678,0.000192019,0.000192019,0.000192019
166,50384.2,1.11602,0.6392,1.00454,0.83977,0.77271,0.81533,0.61201,1.22169,0.87808,1.5372,0.000185979,0.000185979,0.000185979
167,50685.8,1.13831,0.64798,1.00776,0.83984,0.77339,0.81548,0.61116,1.22161,0.87744,1.53758,0.000180024,0.000180024,0.000180024
168,50987,1.13545,0.65022,1.00433,0.8392,0.77399,0.81535,0.61196,1.22166,0.8777,1.53814,0.000174156,0.000174156,0.000174156
169,51288.4,1.10161,0.63419,1.00313,0.83711,0.77576,0.81535,0.6115,1.2217,0.87797,1.53856,0.000168376,0.000168376,0.000168376
170,51589.5,1.10902,0.63852,1.00552,0.83773,0.77571,0.81535,0.6116,1.22184,0.87688,1.53896,0.000162685,0.000162685,0.000162685
171,51891,1.12405,0.63975,1.00441,0.83976,0.77162,0.81496,0.61153,1.22182,0.87715,1.53953,0.000157085,0.000157085,0.000157085
172,52191.6,1.10686,0.63309,1.00581,0.83908,0.77174,0.81497,0.61206,1.22216,0.87674,1.54016,0.000151576,0.000151576,0.000151576
173,52491.9,1.11344,0.63567,1.00199,0.83907,0.7724,0.81503,0.61217,1.22213,0.8762,1.54052,0.00014616,0.00014616,0.00014616
174,52793.4,1.12568,0.64439,1.00297,0.83914,0.77255,0.81501,0.61195,1.2223,0.87635,1.54116,0.000140838,0.000140838,0.000140838
175,53094.6,1.0992,0.62902,0.99986,0.83973,0.77228,0.81531,0.61163,1.22239,0.87608,1.5418,0.00013561,0.00013561,0.00013561
176,53396.1,1.1101,0.63436,1.0039,0.83874,0.77316,0.81512,0.61254,1.22235,0.876,1.5422,0.000130479,0.000130479,0.000130479
177,53697.7,1.10435,0.63007,1.0022,0.82713,0.77695,0.81506,0.61177,1.22237,0.8752,1.54258,0.000125444,0.000125444,0.000125444
178,53998.5,1.10894,0.63101,0.99873,0.82637,0.7827,0.81543,0.61264,1.2222,0.87523,1.54286,0.000120507,0.000120507,0.000120507
179,54299.7,1.10083,0.62798,1.00024,0.8236,0.78421,0.81554,0.61155,1.22197,0.87538,1.54275,0.00011567,0.00011567,0.00011567
180,54601.8,1.09192,0.62592,0.99991,0.82595,0.77484,0.81474,0.61178,1.22201,0.87505,1.54304,0.000110932,0.000110932,0.000110932
181,54904.4,0.98436,0.51679,0.95754,0.82567,0.77524,0.81481,0.61244,1.22233,0.87535,1.54363,0.000106295,0.000106295,0.000106295
182,55204,0.98573,0.51594,0.95106,0.82576,0.77171,0.81437,0.6119,1.22253,0.87507,1.54444,0.000101761,0.000101761,0.000101761
